text,tactic
"terminal services dll adversaries may abuse components of terminal services to enable persistent access to systems microsoft terminal services, renamed to remote desktop services in some windows server oss as of 2022, enable remote terminal connections to hosts terminal services allows servers to transmit a full, interactive, graphical user interface to clients via rdp citation: microsoft remote desktop services windows service that are run as a ""generic"" process ex: <code>svchost exe< code> load the service's dll file, the location of which is stored in a re windows",persistence
"applescript adversaries may abuse applescript for execution applescript is a macos scripting language designed to control applications and parts of the os via inter application messages called appleevents citation: apple applescript these appleevent messages can be sent independently or easily scripted with applescript these events can locate open windows, send keystrokes, and interact with almost any open application locally or remotely scripts can be run from the command line via <code>osascript path to script< code> or <code>osascript e ""script here""< code> aside from the command line, scripts macos",execution
"software extensions adversaries may abuse software extensions to establish persistent access to victim systems software extensions are modular components that enhance or customize the functionality of software applications, including web browsers, integrated development environments ides , and other platforms citation: chrome extension c2 malware citation: abramovsky vscode security extensions are typically installed via official marketplaces, app stores, or manually loaded by users, and they often inherit the permissions and access levels of the host application malicious extensions can be introduced linux macos windows",persistence
"service exhaustion flood adversaries may target the different network services provided by systems to conduct a denial of service dos adversaries often target the availability of dns and web services, however others have been targeted as well citation: arbor annualdosreport jan 2018 web server software can be attacked through a variety of means, some of which apply generally while others are specific to the software being used to provide the service one example of this type of attack is known as a simple http flood, where an adversary sends a large number of http requests to a web server to overwhelm it and or windows iaas linux macos",impact
"compromise hardware supply chain adversaries may manipulate hardware components in products prior to receipt by a final consumer for the purpose of data or system compromise by modifying hardware or firmware in the supply chain, adversaries can insert a backdoor into consumer networks that may be difficult to detect and give the adversary a high degree of control over the system hardware backdoors may be inserted into various devices, such as servers, workstations, network infrastructure, or peripherals linux macos windows",initial-access
"native api adversaries may interact with the native os application programming interface api to execute behaviors native apis provide a controlled means of calling low level os services within the kernel, such as those involving hardware devices, memory, and processes citation: nt api windows citation: linux kernel api these native apis are leveraged by the os during system boot when other system components are not yet initialized as well as carrying out tasks and requests during routine operations adversaries may abuse these os api functions as a means of executing behaviors similar to comma linux macos windows",execution
"ccache files adversaries may attempt to steal kerberos tickets stored in credential cache files or ccache these files are used for short term storage of a user's active session credentials the ccache file is created upon user authentication and allows for access to multiple services without the user having to re enter credentials the <code> etc krb5 conf< code> configuration file and the <code>krb5ccname< code> environment variable are used to set the storage location for ccache entries on linux, credentials are typically stored in the directory with a naming format of or `kr linux macos",credential-access
"clear network connection history and configurations adversaries may clear or remove evidence of malicious network connections in order to clean up traces of their operations configuration settings as well as various artifacts that highlight connection history may be created on a system and or in application logs from behaviors that require network connections, such as remote services or external remote services defenders may use these artifacts to monitor or otherwise analyze network connections created by adversaries network connection history may be linux macos windows network devices",defense-evasion
"as rep roasting adversaries may reveal credentials of accounts that have disabled kerberos preauthentication by password cracking kerberos messages citation: harmj0y roasting as reps jan 2017 preauthentication offers protection against offline password cracking when enabled, a user requesting access to a resource initiates communication with the domain controller dc by sending an authentication server request as req message with a timestamp that is encrypted with the hash of their password if and only i windows",credential-access
"virtual private server adversaries may compromise third party virtual private servers vpss that can be used during targeting there exist a variety of cloud service providers that will sell virtual machines containers as a service adversaries may compromise vpss purchased by third party entities by compromising a vps to use as infrastructure, adversaries can make it difficult to physically tie back operations to themselves citation: nsa ncsc turla oilrig compromising a vps for use in later stages of the adversary lifecycle, such as command and control, can allow adversaries to benefit from the ubiquity and tr pre",resource-development
"autohotkey & autoit adversaries may execute commands and perform malicious tasks using autoit and autohotkey automation scripts autoit and autohotkey ahk are scripting languages that enable users to automate windows tasks these automation scripts can be used to perform a wide variety of actions, such as clicking on buttons, entering text, and opening and closing programs citation: autoit citation: autohotkey adversaries may use ahk and autoit scripts to execute malicious code on a victim's system for example, adversaries have used for ahk to execute payloads and other modular malware su windows",execution
"reduce key space adversaries may reduce the level of effort required to decrypt data transmitted over the network by reducing the cipher strength of encrypted communications citation: cisco synful knock evolution adversaries can weaken the encryption software on a compromised network device by reducing the key size used by the software to convert plaintext to ciphertext e g , from hundreds or thousands of bytes to just a couple of bytes as a result, adversaries dramatically reduce the amount of effort needed to decrypt the protected information without the key adversaries may modify the key size used a network devices",defense-evasion
"clear command history in addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done on linux and macos, these command histories can be accessed in a few different ways while logged in, this command history is tracked in a file pointed to by the environment variable <code>histfile< code> when a user logs off a system, this information is flushed to a file in the user's home directory calle esxi linux macos network devices windows",defense-evasion
"indirect command execution adversaries may abuse utilities that allow for command execution to bypass security restrictions that limit the use of command line interpreters various windows utilities may be used to execute commands, possibly without invoking cmd for example, forfiles the program compatibility assistant , components of the windows subsystem for linux wsl , , as well as other utilities may invoke the execution of programs and commands from a command and scripting interpreter windows",defense-evasion
"replication through removable media adversaries may move onto systems, possibly those on disconnected or air gapped networks, by copying malware to removable media and taking advantage of autorun features when the media is inserted into a system and executes in the case of lateral movement, this may occur through modification of executable files stored on removable media or by copying malware and renaming it to look like a legitimate file to trick users into executing it on a separate system in the case of initial access, this may occur through manual manipulation of the media, modification of systems used to initially format windows",initial-access+lateral-movement
"data from local system adversaries may search local system sources, such as file systems, configuration files, local databases, virtual machine files, or process memory, to find files of interest and sensitive data prior to exfiltration adversaries may do this using a command and scripting interpreter such as cmd as well as a network device cli which have functionality to interact with the file system to gather information citation: show run config cmd cisco adversaries may a esxi linux macos network devices windows",collection
deobfuscate decode files or information adversaries may use obfuscated files or information to hide artifacts of an intrusion from analysis they may require separate mechanisms to decode or deobfuscate that information depending on how they intend to use it methods for doing that include built in functionality of malware or by using utilities present on the system one such example is the use of certutil to decode a remote access tool portable executable file that has been hidden inside a certificate file citation: malwarebytes targeted attac esxi linux macos windows,defense-evasion
"outlook rules adversaries may abuse microsoft outlook rules to obtain persistence on a compromised system outlook rules allow a user to define automated behavior to manage email messages a benign rule might, for example, automatically move an email to a particular folder in outlook if it contains specific words from a specific sender malicious outlook rules can be created that can trigger code execution when an adversary sends a specifically crafted email to that user citation: silentbreak outlook rules once malicious rules have been added to the user’s mailbox, they will be loaded when outlook is sta windows office suite",persistence
"cloud accounts adversaries may compromise cloud accounts that can be used during targeting adversaries can use compromised cloud accounts to further their operations, including leveraging cloud storage services such as dropbox, microsoft onedrive, or aws s3 buckets for exfiltration to cloud storage or to upload tool cloud accounts can also be used in the acquisition of infrastructure, such as virtual private server or serverless pre",resource-development
"email accounts adversaries may compromise email accounts that can be used during targeting adversaries can use compromised email accounts to further their operations, such as leveraging them to conduct phishing for information phishing or large scale spam email campaigns utilizing an existing persona with a compromised email account may engender a level of trust in a potential victim if they have a relationship with, or knowledge of, the compromised persona compromised email accounts can also be used in the acquisi pre",resource-development
"additional local or domain groups an adversary may add additional local or domain groups to an adversary controlled account to maintain persistent access to a system or domain on windows, accounts may use the and commands to add existing users to local and domain groups citation: microsoft net localgroup citation: microsoft net group on linux, adversaries may use the command for the same purpose citation: linux usermod for example, accounts may be added to the local administrators group on windows devices to maintain elevated privileges they may also be added to the remote deskto windows macos linux",persistence+privilege-escalation
"upload malware adversaries may upload malware to third party or adversary controlled infrastructure to make it accessible during targeting malicious software can include payloads, droppers, post compromise tools, backdoors, and a variety of other malicious content adversaries may upload malware to support their operations, such as making a payload available to a victim network to enable ingress tool transfer by placing it on an internet accessible web server malware may be placed on infrastructure that was previously purchased rented by the adversary acquire pre",resource-development
supply chain compromise adversaries may manipulate products or product delivery mechanisms prior to receipt by a final consumer for the purpose of data or system compromise supply chain compromise can take place at any stage of the supply chain including: * manipulation of development tools * manipulation of a development environment * manipulation of source code repositories public or private * manipulation of source code in open source dependencies * manipulation of software update distribution mechanisms * compromised infected system images removable media infected at the factory citation: ibm storwize cit linux windows macos saas,initial-access
"exploit public facing application adversaries may attempt to exploit a weakness in an internet facing host or system to initially access a network the weakness in the system can be a software bug, a temporary glitch, or a misconfiguration exploited applications are often websites web servers, but can also include databases like sql , standard services like smb or ssh , network device administration and management protocols like snmp and smart install , and any other system with internet accessible open sockets citation: nvd cve 2016 6662 citation: cis multiple smb vulnerabilities citation: us cert ta18 106a network in containers esxi iaas linux macos network devices windows",initial-access
"steal or forge kerberos tickets adversaries may attempt to subvert kerberos authentication by stealing or forging kerberos tickets to enable pass the ticket kerberos is an authentication protocol widely used in modern windows domain environments in kerberos environments, referred to as “realms”, there are three basic participants: client, service, and key distribution center kdc citation: adsecurity kerberos ring decoder clients request access to a service and through the exchange of kerberos tickets, originating from kdc, they are granted access after having successfull linux macos windows",credential-access
"credentials from password stores adversaries may search for common password storage locations to obtain user credentials citation: f secure the dukes passwords are stored in several places on a system, depending on the operating system or application holding the credentials there are also specific applications and services that store passwords to make them easier for users to manage and maintain, such as password managers and cloud secrets vaults once credentials are obtained, they can be used to perform lateral movement and access restricted information iaas linux macos windows",credential-access
"exfiltration over web service adversaries may use an existing, legitimate external web service to exfiltrate data rather than their primary command and control channel popular web services acting as an exfiltration mechanism may give a significant amount of cover due to the likelihood that hosts within a network are already communicating with them prior to compromise firewall rules may also already exist to permit traffic to these services web service providers also commonly use ssl tls encryption, giving adversaries an added level of protection esxi linux macos office suite saas windows",exfiltration
"remote access tools an adversary may use legitimate remote access tools to establish an interactive command and control channel within a network remote access tools create a session between two trusted hosts through a graphical interface, a command line interaction, a protocol tunnel via development or management software, or hardware level access such as kvm keyboard, video, mouse over ip solutions desktop support software usually graphical interface and remote management software typically command line interface allow a user to control a computer remotely as if they are a local user inheriting the user linux macos windows",command-and-control
"domains adversaries may acquire domains that can be used during targeting domain names are the human readable names used to represent one or more ip addresses they can be purchased or, in some cases, acquired for free adversaries may use acquired domains for a variety of purposes, including for phishing drive by compromise and command and control citation: cisa mss sep 2020 adversaries may choose domains that are similar to legitimate domains, including through use of homoglyphs or use of a different top pre",resource-development
"archive via library an adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries many libraries exist that can archive data, including python rarfile citation: pypi rar , libzip citation: libzip , and zlib citation: zlib github most libraries include functionality to encrypt and or compress data some archival libraries are preinstalled on systems, such as bzip2 on macos and linux, and zip on windows note that the libraries are different from the utilities the libraries can be linked against when compiling, wh linux macos windows",collection
"thread execution hijacking adversaries may inject malicious code into hijacked processes in order to evade process based defenses as well as possibly elevate privileges thread execution hijacking is a method of executing arbitrary code in the address space of a separate live process thread execution hijacking is commonly performed by suspending an existing process then unmapping hollowing its memory, which can then be replaced with malicious code or the path to a dll a handle to an existing victim process is first created with native windows api calls such as <code>openthread< code> at this point the process can b windows",defense-evasion+privilege-escalation
"social engineering adversaries may use social engineering techniques to influence users to take actions that result in unauthorized access, approval of changes, disclosure of sensitive information, or execution of adversary supplied instructions i e , introduction of malicious payloads or software , while minimizing technical indicators adversaries may leverage trust building methods across multiple channels e g , executive, vendor, or help desk scenarios, including ai enabled voice interactions to prompt user authorized actions such as password resets, mfa changes, financial approvals, or the disclosure o linux macos office suite saas windows",defense-evasion
"masquerading adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and or security tools masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation this may include manipulating file metadata, tricking users into misidentifying the file type, and giving legitimate task or service names renaming abusable system utilities to evade security monitoring is also a form of masquerading lolbas ma containers esxi linux macos windows",defense-evasion
"application shimming adversaries may establish persistence and or elevate privileges by executing malicious content triggered by application shims the microsoft windows application compatibility infrastructure framework application shim was created to allow for backward compatibility of software as the operating system codebase changes over time for example, the application shimming feature allows developers to apply fixes to applications without rewriting code that were created for windows xp so that it will work with windows 10 citation: elastic process injection july 2017 within the framework, shims a windows",persistence+privilege-escalation
"unsecured credentials adversaries may search compromised systems to find and obtain insecurely stored credentials these credentials can be stored and or misplaced in many locations on a system, including plaintext files e g shell history operating system or application specific repositories e g credentials in registry or other specialized files artifacts e g private keys brining mimikatz to unix windows saas iaas linux macos containers network devices office suite identity provider",credential-access
"port monitors adversaries may use port monitors to run an adversary supplied dll during system boot for persistence or privilege escalation a port monitor can be set through the <code>addmonitor< code> api call to set a dll to be loaded at startup citation: addmonitor this dll can be located in <code>c:\windows\system32< code> and will be loaded and run by the print spooler service, , under system level permissions on boot citation: bloxham alternatively, an arbitrary dll can be loaded if permissions allow writing a fully qualified pathname for that dll to the value of an existi windows",persistence+privilege-escalation
"clear mailbox data adversaries may modify mail and mail application data to remove evidence of their activity email applications allow users and other programs to export and delete mailbox data via command line tools or use of apis mail application data can be emails, email metadata, or logs generated by the application or operating system, such as export requests adversaries may manipulate emails and mailbox data to remove logs, artifacts, and metadata, such as evidence of phishing spearphishing email colle linux macos office suite windows",defense-evasion
login hook adversaries may use a login hook to establish persistence executed upon user logon a login hook is a plist file that points to a specific script to execute with root privileges upon user logon the plist file is located in the <code> library preferences com apple loginwindow plist< code> file and can be modified using the <code>defaults< code> command line utility this behavior is the same for logout hooks where a script can be executed upon user logout all hooks require administrator permissions to modify or create hooks citation: login scripts apple dev citation: loginwindowscripts appl macos,persistence+privilege-escalation
"content injection adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic rather than luring victims to malicious payloads hosted on a compromised website i e , drive by target followed by drive by compromise adversaries may initially access victims through compromised data transfer channels where they can manipulate traffic and or inject their own content these compromised online network channels may also be used to deliver a linux macos windows",command-and-control+initial-access
"process injection adversaries may inject code into processes in order to evade process based defenses as well as possibly elevate privileges process injection is a method of executing arbitrary code in the address space of a separate live process running code in the context of another process may allow access to the process's memory, system network resources, and possibly elevated privileges execution via process injection may also evade detection from security products since the execution is masked under a legitimate process there are many different ways to inject code into a process, many of which abuse linux macos windows",defense-evasion+privilege-escalation
"exfiltration over webhook adversaries may exfiltrate data to a webhook endpoint rather than over their primary command and control channel webhooks are simple mechanisms for allowing a server to push data over http s to a client without the need for the client to continuously poll the server citation: redhat webhooks many public and commercial services, such as discord, slack, and , support the creation of webhook endpoints that can be used by other services, such as github, jira, or trello citation: discord intro to webhooks when changes happen in the linked services such as pushing a repository up esxi linux macos office suite saas windows",exfiltration
"traffic signaling adversaries may use traffic signaling to hide open ports or other malicious functionality used for persistence or command and control traffic signaling involves the use of a magic value or sequence that must be sent to a system to trigger a special response, such as opening a closed port or executing a malicious task this may take the form of sending a series of packets with certain characteristics before a port will be opened that the adversary can use for command and control usually this series of packets consists of attempted connections to a predefined sequence of closed ports i e po linux macos network devices windows",command-and-control+defense-evasion+persistence
"direct cloud vm connections adversaries may leverage valid accounts to log directly into accessible cloud hosted compute infrastructure through cloud native methods many cloud providers offer interactive connections to virtual infrastructure that can be accessed through the cloud api such as azure serial console citation: azure serial console , aws ec2 instance connect citation: ec2 instance connect citation: lucr 3: getting saas y in the cloud , and aws system manager citation: aws system manager methods of authenticatio iaas",lateral-movement
"system binary proxy execution adversaries may bypass process and or signature based defenses by proxying execution of malicious content with signed, or otherwise trusted, binaries binaries used in this technique are often microsoft signed files, indicating that they have been either downloaded from microsoft or are already native in the operating system citation: lolbas project binaries signed with trusted digital certificates can typically execute on windows systems protected by digital signature validation several microsoft signed binaries that are default on windows installations can be used to proxy execution of ot linux macos windows",defense-evasion
"timestomp adversaries may modify file time attributes to hide new files or changes to existing files timestomping is a technique that modifies the timestamps of a file the modify, access, create, and change times , often to mimic files that are in the same folder and blend malicious files with legitimate files in windows systems, both the and attributes record times in a master file table mft file citation: inversecos timestomping 2022 dates time stamps is displayed to the end user, including in the file system view, while is dea esxi linux macos windows",defense-evasion
"evil twin adversaries may host seemingly genuine wi fi access points to deceive users into connecting to malicious networks as a way of supporting follow on behaviors such as network sniffing transmitted data manipulation or input capture australia ‘evil twin’ by using a service set identifier ssid of a legitimate wi fi network, fraudulent wi fi access points may trick devices or users into connecting to malicious wi fi networks citation: kaspersky network devices",collection+credential-access
"reflective code loading adversaries may reflectively load code into a process in order to conceal the execution of malicious payloads reflective loading involves allocating then executing payloads directly within the memory of the process, vice creating a thread or process backed by a file path on disk e g , shared modules reflectively loaded payloads may be compiled binaries, anonymous files only present in ram , or just snubs of fileless executable code ex: position independent shellcode citation: introducing donut citation: s1 custom shellcode tool citation: linux macos windows",defense-evasion
"wi fi discovery adversaries may search for information about wi fi networks, such as network names and passwords, on compromised systems adversaries may use wi fi information as part of account discovery remote system discovery and other discovery or credential access activity to support both ongoing and future campaigns adversaries may collect various types of information about wi fi networks from hosts for example, on windows names and passwords of all wi fi networks a d linux windows macos",discovery
"mutual exclusion adversaries may constrain execution or actions based on the presence of a mutex associated with malware a mutex is a locking mechanism used to synchronize access to a resource only one thread or process can acquire a mutex at a given time citation: microsoft mutexes while local mutexes only exist within a given process, allowing multiple threads to synchronize access to a resource, system mutexes can be used to synchronize the activities of multiple processes citation: microsoft mutexes by creating a unique system mutex associated with a particular malware, adversaries can verify whethe linux macos windows",defense-evasion
"ignore process interrupts adversaries may evade defensive mechanisms by executing commands that hide from process interrupt signals many operating systems use signals to deliver messages to control process behavior command interpreters often include specific commands flags that ignore errors and other hangups, such as when the user of the active session logs off citation: linux signal man these interrupt signals may also be used by defensive tools and or analysts to pause or terminate specified running processes adversaries may invoke processes using , powershell linux macos windows",defense-evasion
"escape to host adversaries may break out of a container or virtualized environment to gain access to the underlying host this can allow an adversary access to other containerized or virtualized resources from the host level or to the host itself in principle, containerized virtualized resources should provide a clear separation of application functionality and be isolated from the host environment citation: docker overview there are multiple ways an adversary may escape from a container to a host environment examples include creating a container configured to mount the host’s filesystem using the bin windows linux containers esxi",privilege-escalation
"backup software discovery adversaries may attempt to get a listing of backup software or configurations that are installed on a system adversaries may use this information to shape follow on behaviors, such as data destruction inhibit system recovery or data encrypted for impact commands that can be used to obtain security software information are netsh with reg with cmd ht windows macos linux",discovery
shortcut modification adversaries may create or modify shortcuts that can execute a program during system boot or user login shortcuts or symbolic links are used to reference other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process adversaries may abuse shortcuts in the startup folder to execute their tools and achieve persistence citation: shortcut for persistence although often used as payloads in an infection chain e g spearphishing attachment adversaries may also create a new shortcut a windows,persistence+privilege-escalation
"application window discovery adversaries may attempt to get a listing of open application windows window listings could convey information about how the system is used citation: prevailion darkwatchman 2021 for example, information about application windows could be used identify potential data to collect as well as identifying security tooling security software discovery to evade citation: eset grandoreiro april 2020 adversaries typically abuse system features for this type of enumeration for example, they may gather information through native system features such linux macos windows",discovery
"systemctl adversaries may abuse systemctl to execute commands or programs systemctl is the primary interface for systemd, the linux init system and service manager typically invoked from a shell, systemctl can also be integrated into scripts or applications adversaries may use systemctl to execute commands or programs as systemd service common subcommands include: , , , , and citation: red hat systemctl 2022 linux",execution
"email account adversaries may attempt to get a listing of email addresses and accounts adversaries may try to dump exchange address lists such as global address lists gals citation: microsoft exchange address lists in on premises exchange and exchange online, the <code>get globaladdresslist< code> powershell cmdlet can be used to obtain email addresses and accounts from a domain using an authenticated session citation: microsoft getglobaladdresslist citation: black hills attacking exchange mailsniper, 2016 in google workspace, the gal is shared with microsoft outlook users through the google works windows office suite",discovery
"time based checks adversaries may employ various time based methods to detect virtualization and analysis environments, particularly those that attempt to manipulate time mechanisms to simulate longer elapses of time this may include enumerating time based properties, such as uptime or the system clock adversaries may use calls like and to discover if they are operating within a virtual machine or sandbox, or may be able to identify a sandbox accelerating time by sampling and calculating the expected value for an environment's timestamp before and after execution of linux macos windows",defense-evasion+discovery
cmstp adversaries may abuse cmstp to proxy execution of malicious code the microsoft connection manager profile installer cmstp exe is a command line program used to install connection manager service profiles citation: microsoft connection manager oct 2009 cmstp exe accepts an installation information file inf as a parameter and installs a service profile leveraged for remote access connections adversaries may supply cmstp exe with inf files infected with malicious commands citation: twitter cmstp usage jan 2018 similar to regsvr32 ”sq windows,defense-evasion
"ssh hijacking adversaries may hijack a legitimate user's ssh session to move laterally within an environment secure shell ssh is a standard means of remote access on linux and macos systems it allows a user to connect to another system via an encrypted tunnel, commonly authenticating through a password, certificate or the use of an asymmetric encryption key pair in order to move laterally from a compromised host, adversaries may take advantage of trust relationships established with other systems via public key authentication in active ssh sessions by hijacking an existing connection to another system linux macos",lateral-movement
"scheduled transfer adversaries may schedule data exfiltration to be performed only at certain times of day or at certain intervals this could be done to blend traffic patterns with normal activity or availability when scheduled exfiltration is used, other exfiltration techniques likely apply as well to transfer the information out of the network, such as exfiltration over c2 channel or exfiltration over alternative protocol linux macos windows",exfiltration
"smb windows admin shares adversaries may use valid accounts to interact with a remote network share using server message block smb the adversary may then perform actions as the logged on user smb is a file, printer, and serial port sharing protocol for windows machines on the same network or domain adversaries may use smb to interact with file shares, allowing them to move laterally throughout a network linux and macos implementations of smb typically use samba windows systems have hidden network shares that are accessible only to administrators and provide the abi windows",lateral-movement
"implant internal image adversaries may implant cloud or container images with malicious code to establish persistence after gaining access to an environment amazon web services aws amazon machine images amis , google cloud platform gcp images, and azure images as well as popular container runtimes such as docker can be implanted or backdoored unlike upload malware this technique focuses on adversaries implanting an image in a registry within a victim’s environment depending on how the infrastructure is provisioned, this could provide persistent access if the iaas containers",persistence
"protocol tunneling adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection network filtering and or enable access to otherwise unreachable systems tunneling involves explicitly encapsulating a protocol within another this behavior may conceal malicious traffic by blending in with existing traffic and or provide an outer layer of encryption similar to a vpn tunneling could also enable routing of network packets that would otherwise not reach their intended destination, such as smb, rdp, or other traffic that would be filtered by network applianc esxi linux macos windows",command-and-control
"control panel adversaries may abuse control exe to proxy execution of malicious payloads the windows control panel process binary control exe handles execution of control panel items, which are utilities that allow users to view and adjust computer settings control panel items are registered executable exe or control panel cpl files, the latter are actually renamed dynamic link library dll files that export a <code>cplapplet< code> function citation: microsoft implementing cpl citation: trendmicro cpl malware jan 2014 for ease of use, control panel items typically include graphical menus av windows",defense-evasion
"network address translation traversal adversaries may bridge network boundaries by modifying a network device’s network address translation nat configuration malicious modifications to nat may enable an adversary to bypass restrictions on traffic routing that otherwise separate trusted and untrusted networks network devices such as routers and firewalls that connect multiple networks together may implement nat during the process of passing packets between networks when performing nat, the network device will rewrite the source and or destination addresses of the ip address header some network designs require nat for the pac network devices",defense-evasion
"upload tool adversaries may upload tools to third party or adversary controlled infrastructure to make it accessible during targeting tools can be open or closed source, free or commercial tools can be used for malicious purposes by an adversary, but unlike malware were not intended to be used for those purposes ex: psexec adversaries may upload tools to support their operations, such as making a tool available to a victim network to enable ingress tool transfer by placing it on an internet accessible web server pre",resource-development
"security support provider adversaries may abuse security support providers ssps to execute dlls when the system boots windows ssp dlls are loaded into the local security authority lsa process at system start once loaded into the lsa, ssp dlls have access to encrypted and plaintext passwords that are stored in windows, such as any logged on user's domain password or smart card pins the ssp configuration is stored in two registry keys: <code>hklm\system\currentcontrolset\control\lsa\security packages< code> and <code>hklm\system\currentcontrolset\control\lsa\osconfig\security packages< code> an adversary may mod windows",persistence+privilege-escalation
"overwrite process arguments adversaries may modify a process's in memory arguments to change its name in order to appear as a legitimate or benign process on linux, the operating system stores command line arguments in the process’s stack and passes them to the function as the array the first element, , typically contains the process name or path by default, the command used to actually start the process e g , by default, the linux filesystem uses this value to represent the process name the file reflects the contents of this memory, and too linux",defense-evasion
"use alternate authentication material adversaries may use alternate authentication material, such as password hashes, kerberos tickets, and application access tokens, in order to move laterally within an environment and bypass normal system access controls authentication processes generally require a valid identity e g , username along with one or more authentication factors e g , password, pin, physical smart card, token generator, etc alternate authentication material is legitimately generated by systems after a user or application successfully authenticates by providing a valid identity and the required authentication containers iaas identity provider linux office suite saas windows",lateral-movement
"threat intel vendors adversaries may search private data from threat intelligence vendors for information that can be used during targeting threat intelligence vendors may offer paid feeds or portals that offer more data than what is publicly reported although sensitive details such as customer names and other identifiers may be redacted, this information may contain trends regarding breaches such as target industries, attribution claims, and successful ttps countermeasures citation: d3secutrity cti feeds adversaries may search in private threat intelligence vendor data to gather actionable information if pre",reconnaissance
"exfiltration over other network medium adversaries may attempt to exfiltrate data over a different network medium than the command and control channel if the command and control network is a wired internet connection, the exfiltration may occur, for example, over a wifi connection, modem, cellular data connection, bluetooth, or another radio frequency rf channel adversaries may choose to do this if they have sufficient access or proximity, and the connection might not be secured or defended as well as the primary internet connected channel because it is not routed through the same enterprise network linux macos windows",exfiltration
"network device configuration dump adversaries may access network configuration files to collect sensitive data about the device and the network the network configuration is a file containing parameters that determine the operation of the device the device typically stores an in memory copy of the configuration while operating, and a separate configuration on non volatile storage to load after device reset adversaries can inspect the configuration files to reveal information about the target network and its layout, the network device and its software, or identifying legitimate accounts and credentials for later use adversa network devices",collection
"gather victim identity information adversaries may gather information about the victim's identity that can be used during targeting information about identities may include a variety of details, including personal data ex: employee names, email addresses, security question responses, etc as well as sensitive details such as credentials or multi factor authentication mfa configurations adversaries may gather this information in various ways, such as direct elicitation via phishing for information information about users could also be enumerated via other active means i e a pre",reconnaissance
"archive collected data an adversary may compress and or encrypt data that is collected prior to exfiltration compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network citation: doj gru indictment jul 2018 encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender both compression and encryption are done prior to exfiltration, and can be performed using a utility, 3rd party library, or custom method linux macos windows",collection
"sip and trust provider hijacking adversaries may tamper with sip and trust provider components to mislead the operating system and application control tools when conducting signature validation checks in user mode, windows authenticode citation: microsoft authenticode digital signatures are used to verify a file's origin and integrity, variables that may be used to establish trust in signed code ex: a driver with a valid microsoft signature may be handled as safe the signature validation process is handled via the winverifytrust application programming interface api function, citation: microsoft winverifytrust whic windows",defense-evasion
